wl,n
1.5000,9.321
1.5100,9.387
1.5200,9.453
1.5300,9.519
1.5400,9.584
1.5500,9.650
1.5600,9.715
1.5700,9.781
1.5800,9.846
1.5900,9.912
1.6000,9.976
1.6100,10.040
1.6200,10.104
1.6300,10.170
1.6400,10.235
1.6500,10.301
1.6600,10.365
1.6700,10.430
1.6800,10.494
1.6900,10.558
1.7000,10.622
1.7100,10.685
1.7200,10.747
1.7300,10.810
1.7400,10.875
1.7500,10.940
1.7600,11.005
1.7700,11.071
1.7800,11.136
1.7900,11.203
1.8000,11.270
1.8100,11.336
1.8200,11.401
1.8300,11.466
1.8400,11.532
1.8500,11.596
1.8600,11.660
1.8700,11.726
1.8800,11.790
1.8900,11.855
1.9000,11.921
1.9100,11.985
1.9200,12.049
1.9300,12.114
1.9400,12.178
1.9500,12.242
1.9600,12.306
1.9700,12.370
1.9800,12.435
1.9900,12.498
2.0000,12.563
2.0100,12.627
2.0200,12.690
2.0300,12.754
2.0400,12.818
2.0500,12.881
2.0600,12.945
2.0700,13.007
2.0800,13.069
2.0900,13.133
2.1000,13.195
2.1100,13.257
2.1200,13.319
2.1300,13.383
2.1400,13.445
2.1500,13.509
2.1600,13.571
2.1700,13.634
2.1800,13.698
2.1900,13.762
2.2000,13.825
2.2100,13.889
2.2200,13.954
2.2300,14.017
2.2400,14.080
2.2500,14.143
2.2600,14.206
2.2700,14.269
2.2800,14.333
2.2900,14.394
2.3000,14.458
2.3100,14.521
2.3200,14.582
2.3300,14.646
2.3400,14.707
2.3500,14.772
2.3600,14.835
2.3700,14.895
2.3800,14.960
2.3900,15.020
2.4000,15.085
2.4100,15.147
2.4200,15.208
2.4300,15.272
2.4400,15.333
2.4500,15.398
2.4600,15.460
2.4700,15.520
2.4800,15.584
2.4900,15.645
2.5000,15.706
2.5063,15.747
2.5126,15.787
2.5189,15.827
2.5253,15.866
2.5316,15.905
2.5381,15.945
2.5445,15.985
2.5510,16.025
2.5575,16.065
2.5641,16.106
2.5707,16.147
2.5773,16.188
2.5840,16.229
2.5907,16.271
2.5974,16.312
2.6042,16.354
2.6110,16.396
2.6178,16.438
2.6247,16.481
2.6316,16.524
2.6385,16.567
2.6455,16.611
2.6525,16.654
2.6596,16.699
2.6667,16.743
2.6738,16.787
2.6810,16.832
2.6882,16.877
2.6954,16.923
2.7027,16.968
2.7100,17.014
2.7174,17.060
2.7248,17.107
2.7322,17.153
2.7397,17.200
2.7473,17.247
2.7548,17.295
2.7624,17.342
2.7701,17.390
2.7778,17.438
2.7855,17.487
2.7933,17.536
2.8011,17.585
2.8090,17.635
2.8169,17.685
2.8249,17.735
2.8329,17.785
2.8409,17.835
2.8490,17.885
2.8571,17.936
2.8653,17.988
2.8736,18.039
2.8818,18.090
2.8902,18.142
2.8986,18.195
2.9070,18.247
2.9155,18.300
2.9240,18.353
2.9326,18.406
2.9412,18.460
2.9499,18.515
2.9586,18.569
2.9674,18.623
2.9762,18.677
2.9851,18.732
2.9940,18.787
3.0030,18.844
3.0120,18.900
3.0211,18.956
3.0303,19.012
3.0395,19.069
3.0488,19.126
3.0581,19.185
3.0675,19.243
3.0769,19.302
3.0864,19.360
3.0960,19.419
3.1056,19.477
3.1153,19.536
3.1250,19.596
3.1348,19.657
3.1447,19.719
3.1546,19.780
3.1646,19.841
3.1746,19.902
3.1847,19.964
3.1949,20.026
3.2051,20.089
3.2154,20.153
3.2258,20.217
3.2362,20.282
3.2468,20.346
3.2573,20.411
3.2680,20.476
3.2787,20.542
3.2895,20.607
3.3003,20.673
3.3113,20.740
3.3223,20.806
3.3333,20.873
3.3445,20.941
3.3557,21.009
3.3670,21.077
3.3784,21.145
3.3898,21.214
3.4014,21.283
3.4130,21.353
3.4247,21.423
3.4364,21.493
3.4483,21.563
3.4602,21.633
3.4722,21.704
3.4843,21.777
3.4965,21.851
3.5088,21.925
3.5211,21.999
3.5336,22.073
3.5461,22.147
3.5587,22.221
3.5714,22.296
3.5842,22.372
3.5971,22.449
3.6101,22.527
3.6232,22.604
3.6364,22.682
3.6496,22.761
3.6630,22.841
3.6765,22.922
3.6900,23.002
3.7037,23.082
3.7175,23.162
3.7313,23.244
3.7453,23.327
3.7594,23.411
3.7736,23.494
3.7879,23.579
3.8023,23.665
3.8168,23.751
3.8314,23.836
3.8462,23.923
3.8610,24.010
3.8760,24.098
3.8911,24.187
3.9063,24.276
3.9216,24.366
3.9370,24.458
3.9526,24.549
3.9683,24.641
3.9841,24.734
4.0000,24.828
4.0161,24.922
4.0323,25.016
4.0486,25.112
4.0650,25.209
4.0816,25.306
4.0984,25.404
4.1152,25.503
4.1322,25.603
4.1494,25.703
4.1667,25.803
4.1841,25.904
4.2017,26.006
4.2194,26.109
4.2373,26.213
4.2553,26.317
4.2735,26.423
4.2918,26.530
4.3103,26.637
4.3290,26.744
4.3478,26.852
4.3668,26.961
4.3860,27.072
4.4053,27.183
4.4248,27.294
4.4444,27.406
4.4643,27.519
4.4843,27.633
4.5045,27.748
4.5249,27.864
4.5455,27.981
4.5662,28.099
4.5872,28.218
4.6083,28.337
4.6296,28.457
4.6512,28.578
4.6729,28.701
4.6948,28.826
4.7170,28.951
4.7393,29.076
4.7619,29.201
4.7847,29.328
4.8077,29.456
4.8309,29.584
4.8544,29.714
4.8780,29.845
4.9020,29.979
4.9261,30.113
4.9505,30.249
4.9751,30.386
5.0000,30.525
5.0251,30.665
5.0505,30.806
5.0761,30.940
5.1020,31.092
5.1282,31.236
5.1546,31.382
5.1813,31.529
5.2083,31.678
5.2356,31.829
5.2632,31.981
5.2910,32.136
5.3191,32.292
5.3476,32.450
5.3763,32.609
5.4054,32.770
5.4348,32.932
5.4645,33.096
5.4945,33.263
5.5249,33.433
5.5556,33.603
5.5866,33.776
5.6180,33.951
5.6497,34.129
5.6818,34.309
5.7143,34.490
5.7471,34.672
5.7803,34.857
5.8140,35.044
5.8480,35.233
5.8824,35.424
5.9172,35.617
5.9524,35.813
5.9880,36.010
6.0241,36.211
6.0606,36.415
6.0976,36.620
6.1350,36.828
6.1728,37.046
6.2112,37.247
6.2500,37.460
6.2893,37.675
6.3291,37.892
6.3694,38.112
6.4103,38.334
6.4516,38.559
6.4935,38.787
6.5359,39.017
6.5789,39.249
6.6225,39.481
6.6667,39.715
6.7114,39.953
6.7568,40.194
6.8027,40.439
6.8493,40.687
6.8966,40.935
6.9444,41.185
6.9930,41.437
7.0423,41.691
7.0922,41.951
7.1429,42.212
7.1942,42.477
7.2464,42.744
7.2993,43.015
7.3529,43.287
7.4074,43.561
7.4627,43.837
7.5188,44.117
7.5758,44.405
7.6336,44.699
7.6923,44.998
7.7519,45.297
7.8125,45.598
7.8740,45.903
7.9365,46.215
8.0000,46.533
8.0645,46.857
